directory,screenshot_similarity,archive_delta_exception,archive_delta_failfetch,page different?,Comment,Exception,Fetch,url,wayback
paulwongprojects.com_1,0.8558774901,0,1,0,Archive lazy loading,,,https://paulwongprojects.com/portfolio/disoriental/,http://localhost:8080/carta/20230301224541/https://paulwongprojects.com/portfolio/disoriental/
floatingmuseum.org_1,0.8871357845,4,0,0,Gif,,Analytics,https://floatingmuseum.org/,http://localhost:8080/carta/20230301224614/https://floatingmuseum.org/
www.artbrussels.com_1,0.8026368734,0,7,1,Missing images,,,https://www.artbrussels.com/en/fair-programme/off-programme/artist-curator-run-spaces/,http://localhost:8080/carta/20230301224644/https://www.artbrussels.com/en/fair-programme/off-programme/artist-curator-run-spaces/
www.myragreene.com_1,1,0,0,0,Empty page,,,https://www.myragreene.com/pb3/application/views/app/_front/views/pages/contacts/contact03.html,http://localhost:8080/carta/20230301224725/https://www.myragreene.com/pb3/application/views/app/_front/views/pages/contacts/contact03.html
www.radioatelier.ca_1,0.9993339705,0,-1,0,Archive autoplay audio,,,https://www.radioatelier.ca/tag/gueze/,http://localhost:8080/carta/20230301224746/https://www.radioatelier.ca/tag/gueze/
pavilionrus.com_1,1,1,0,0,,,,https://pavilionrus.com/en/the-gamer/dto/biennale-arte-2022/,http://localhost:8080/carta/20230301224815/https://pavilionrus.com/en/the-gamer/dto/biennale-arte-2022/
publicknowledge.sfmoma.org_1,0.9995413574,0,0,0,Head text different color,,,https://publicknowledge.sfmoma.org/,http://localhost:8080/carta/20230301224837/https://publicknowledge.sfmoma.org/
gibsonhunterstudio.com_1,1,0,0,0,,,,http://gibsonhunterstudio.com/,http://localhost:8080/carta/20230301224913/http://gibsonhunterstudio.com/
platoauctions.com_1,0.9642695473,0,0,0,,,,https://platoauctions.com/2022/05/10/farm-auction-june-2022/img_8849/embed/,http://localhost:8080/carta/20230301224934/https://platoauctions.com/2022/05/10/farm-auction-june-2022/img_8849/embed/
candlewoodartsfestival.org_1,0.9721554898,0,0,0,,,,https://candlewoodartsfestival.org/noe-olivas-interviews-silvia/,http://localhost:8080/carta/20230301224954/https://candlewoodartsfestival.org/noe-olivas-interviews-silvia/
artandpractice.org_1,0.9305636225,11,24,1,Archive 3D navigation not available,,,https://artandpractice.org/es/exhibitions/exhibition/deborah-roberts-im/,http://localhost:8080/carta/20230301225021/https://artandpractice.org/es/exhibitions/exhibition/deborah-roberts-im/
www.lifeofacraphead.com_1,0.6378428955,1,-2,0,Archive lazy loading,,,https://www.lifeofacraphead.com/miscellaneous/,http://localhost:8080/carta/20230301225101/https://www.lifeofacraphead.com/miscellaneous/
chicagoimagists.com_1,1,0,2,0,,,Analytics,http://chicagoimagists.com/,http://localhost:8080/carta/20230301225148/http://chicagoimagists.com/
www.landoauctions.com_1,0.98716215,0,0,0,,,,https://www.landoauctions.com/faqol.html,http://localhost:8080/carta/20230301225232/https://www.landoauctions.com/faqol.html
www.fahamupecouart.com_1,0.911934816,0,0,0,,,Events,https://www.fahamupecouart.com/store/p/soul-makossa-tee-red-1,http://localhost:8080/carta/20230301225253/https://www.fahamupecouart.com/store/p/soul-makossa-tee-red-1
