directory,max_prefix,min_length,max_length
snagmetalsmith.org,36,36,37
icca.art,16,16,16
www.arprim.org,116,116,116
soulisauctions.com,26,26,26
macm.org,94,624,629
grunt.ca,56,58,58
www.fahamupecouart.com,37,37,37
nationalmuseumofmexicanart.org,38,38,54
materiajournal.com,21,21,21
www.eyedrum.org,29,356,356
lauristallings.org,1,1,1
2022.vbexhibitions.hk,40,40,40
www.gkb-furniture.com,18,18,94
www.artsatl.org,27,93,105
platoauctions.com,1,1,1
www.radioatelier.ca,525,525,525
lesparadisdegranby.blogspot.com,41,41,41
www.lucindabunnen.com,141,141,141
sarahemerson.com,95,95,95
www.frontart.org,174,174,174
vault.jeancharlot.org,0,0,0
www.emilycarrfoundationshow.ca,27,27,29
www.primary-colours.ca,24,24,24
publicknowledge.sfmoma.org,45,45,45
zygotepress.org,27,27,29
croatianpavilion2022.com,16,16,16
pavilionrus.com,0,0,0
canadianart.ca,74,74,74
stovallworkshop.com,108,108,108
candlewoodartsfestival.org,22,22,22
front.nfshost.com,4,4,4
latvianpavilion.lv,0,0,0
www.hammersleyfoundation.org,3,3,3
gibsonhunterstudio.com,0,0,0
www.forestcitygallery.com,47,47,76
frame-finland.fi,17,17,17
www.irelandatvenice2022.ie,19,19,19
www.gallery.ca,25,30,34
www.visualartscentre.ca,54,54,54
www.equinoxgallery.com,595,595,595
www.natasharia.com,62,62,62
www.billreidgallery.ca,51,51,58
dcarts.emuseum.com,74,74,74
wyld.gallery,33,143,143
fredtruck.com,75,82,93
www.contemporary.org,92,92,92
ignasiaballi.net,415,415,415
www.elevateatlart.com,56,56,56
www.artbrussels.com,290,290,291
momus.ca,171,171,171
lavacoalition.art,54,55,65
area405.com,24,26,28
www.molokaiartscenter.org,357,357,357
whippersnapper.ca,15,15,17
www.wallergallery.com,46,46,46
www.masonfineartandevents.com,24,24,24
www.myragreene.com,0,0,0
www.chloebeaulac.com,13,13,13
nbss.edu,338,338,338
niadart.org,100,125,129
www.haystack-mtn.org,35,56,84
missouriartists.org,1266,1266,1266
www.stablearts.org,21,21,21
eriac.org,257,257,257
www.bonhams.com,39,416,416
www.beatnation.org,0,0,0
www.landoauctions.com,0,0,0
venicebiennale.britishcouncil.org,13,161,183
www.pilchuck.org,23,23,23
www.richardfung.ca,0,0,0
artandpractice.org,97,97,97
www.firstvisionart.com,10,10,10
kansascityartistscoalition.org,41,41,41
aupuni.space,74,74,74
untitledartfairs.com,81,81,81
www.aci-iac.ca,12,212,214
alllightexpanded.com,42597,42597,42597
venezia-biennale-japan.jpf.go.jp,38,38,38
www.ktaylor.net,12,12,12
floatingmuseum.org,132,132,132
www.blackartauction.com,56,56,68
www.lilaoliverasher.com,42,42,42
www.monicareyesgallery.com,93,104,110
pmvabf.org,99,99,99
paulwongprojects.com,45,45,45
craigcamera.com,0,0,0
duoxduox.com,12,12,12
bookproject2020.blogspot.com,9,9,9
127garazh.org,84,84,84
www.yyzartistsoutlet.org,168,168,168
www.lifeofacraphead.com,36,36,36
tttheartist.com,117,117,117
chicagoimagists.com,24,28,28
hsead.org,232,232,318
museumforartinwood.org,0,0,0
www.aaackc.org,45,45,45
williamkentfoundation.org,1,1,1
majesticauction.ca,36,36,36
